2022-04-03 14:02:27.188 UTC,7olAs5w/622K00XopU5sulxrwiaDhSNj8+Aeb62CnoRAzYksviXa9scyaBuDvu/mP+GUBrzLVUBg8C1bPKUGlw==,#FFFFFF,"370,485"
2022-04-03 14:02:27.18 UTC,jQDjmZn6DgNjanZXCNqCNy3i+x690qnjTt9NIgsRPGmz+KcoWnNmJmxQAmoQfAtNULlMT/UGt9KVAlRaDfswiA==,#9C6926,"968,217"
2022-04-03 14:02:27.192 UTC,w9E5Cq3WoHNoRKs/x595f0iKgkDagE15Ko25rBblqsRpiPv3IQnjk8hhvoLhnKH9KzkZkv3Re32GX/AeQD5TCQ==,#000000,"1167,501"
2022-04-03 14:02:27.193 UTC,QDzvXSEF/NNMAuB6otcLOv5IOEuMCF6+B+nmVGqNGZu+AhL9UtO8qvvTXvsSPGHT5UHrK62Lug0PyIVv52kc3Q==,#000000,"634,482"
2022-04-03 14:02:27.196 UTC,zEZ2WR9qCybWiq7TmFeJNKQp7VN1MDnqE08zq6xx8vN2+mGAbA3rXVe2FtHumiqZxLN3hZaup9LUc3KCFYkrxw==,#FFFFFF,"65,143"
2022-04-03 14:02:27.199 UTC,gXEBX8ogpPbQRRFYRpwwHkK3elQWx2rgr+isNLFx+7V1utJChq6xO2bCXpm60pEH6CW4sEr8nQ2ubIyo9fjv+w==,#493AC1,"76,484"
2022-04-03 14:02:27.201 UTC,aQSZhjsyiF7rRZoLQ0Ph0IEK1ebP/AWULwALOL/eKehblYN89mU742DJkeuRK6BaffClj8PplIgoGr63cR703g==,#FF3881,"1043,814"
2022-04-03 14:02:27.206 UTC,qnWgstmLsgnZ9rlDPTvt0ukle3XxyW5CAd+BMmWai8eZbLsIkt6Wc2AvGm0/ge3fC+kVLr+4f/kCbhByTUzpiQ==,#FFD635,"1411,466"
2022-04-03 14:02:27.207 UTC,3qoDj2F6wGptSX3eGEGVvg+T7YpKZUd61BZ1p9iXckN2I41hKwIdnAZQntLq+2ghjV8MKwbXPF6aqQH4agBGCQ==,#FFFFFF,"383,382"
2022-04-03 14:02:27.207 UTC,tgxAm7l24RupILwTtF9oEOphbaMqZsW4x67GlaNeAcI7YXxGCEnDBXXfjUemKAcT+aQhPpDvTQHQprgoLn+aVQ==,#FF4500,"802,904"
